"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-06-06 ~ 2025-06-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"113","광주광역시 광산구 운남동","802","0802","0000","운남진아리채리버힐즈","84.9895","202505","31","42,800","-","19","개인","개인","2020","목련로273번길 23","-","중개거래","광주 광산구","-"
"114","광주광역시 북구 양산동","930","0930","0000","지에스그린자이2차","84.9662","202505","31","35,000","-","3","개인","개인","2006","양산택지로34번길 22","-","중개거래","광주 북구","-"
"115","광주광역시 광산구 도산동","1317","1317","0000","송정우방아이유쉘아파트","70.8633","202505","31","31,500","-","7","개인","개인","2019","평동로1100번길 71","-","중개거래","광주 광산구, 광주 서구","-"
"116","광주광역시 광산구 장덕동","1111","1111","0000","광주수완세영리첼","84.6782","202505","31","46,000","-","24","개인","개인","2014","풍영로 294-23","-","중개거래","광주 광산구","-"
"117","광주광역시 광산구 하남동","971","0971","0000","하남3지구모아엘가","84.9817","202505","31","40,000","-","14","개인","개인","2018","단전둘레길 15","-","중개거래","광주 광산구","-"
"118","광주광역시 광산구 송정동","918-3","0918","0003","라인2","77.1500","202505","30","22,300","-","8","개인","개인","1998","상무대로 137-2","-","중개거래","광주 광산구","-"
"119","광주광역시 광산구 장덕동","1111","1111","0000","광주수완세영리첼","84.9871","202505","30","48,300","-","8","개인","개인","2014","풍영로 294-23","-","중개거래","광주 광산구","-"
"120","광주광역시 광산구 장덕동","1690","1690","0000","성덕마을대방노블랜드5차","129.0840","202505","30","80,000","-","6","개인","개인","2011","풍영로170번길 39-26","-","중개거래","광주 광산구","-"
"121","광주광역시 북구 용두동","1120","1120","0000","우방아이유쉘아파트","59.8814","202505","30","28,100","-","19","개인","개인","2018","하서로423번길 42","-","중개거래","광주 북구","-"
"122","광주광역시 광산구 산월동","885-1","0885","0001","부영2차","84.7886","202505","30","28,000","-","7","개인","개인","2004","첨단중앙로68번길 22","-","중개거래","광주 광산구","-"
