dong,area,price
광주광역시 북구 용두동,84.9821,42600
광주광역시 광산구 운남동,59.91,15250
광주광역시 남구 주월동,77.7273,44900
광주광역시 남구 임암동,84.9772,43000
광주광역시 서구 풍암동,84.815,23000
광주광역시 북구 용봉동,84.72,16300
광주광역시 서구 화정동,76.9612,57000
광주광역시 남구 노대동,84.96,29500
광주광역시 서구 화정동,84.98,49000
광주광역시 서구 화정동,84.98,49000
광주광역시 북구 두암동,49.77,9700
광주광역시 남구 임암동,84.9948,46000
광주광역시 남구 지석동,84.8792,30000
광주광역시 북구 본촌동,84.9931,23300
광주광역시 남구 주월동,59.48,16000
광주광역시 북구 각화동,72.9796,34900
광주광역시 서구 금호동,84.994,27500
광주광역시 서구 금호동,84.891,35000
광주광역시 서구 금호동,84.96,25000
광주광역시 동구 학동,84.8412,56800
광주광역시 남구 봉선동,59.89,44000
광주광역시 서구 치평동,55.422,16200
광주광역시 동구 계림동,75.9867,44000
광주광역시 서구 화정동,76.9612,56800
광주광역시 북구 매곡동,84.84,18000
광주광역시 동구 계림동,84.949,47000
광주광역시 남구 주월동,84.9589,48000
광주광역시 서구 내방동,84.9,24500
광주광역시 북구 각화동,84.9442,41700
광주광역시 북구 운암동,84.5199,57357
광주광역시 서구 쌍촌동,84.93,20700
광주광역시 서구 화정동,59.88,11500
광주광역시 동구 소태동,59.9834,31000
광주광역시 남구 방림동,59.91,12200
광주광역시 서구 풍암동,59.7,17600
광주광역시 남구 봉선동,125.16,111000
광주광역시 서구 풍암동,114.989,44000
광주광역시 동구 산수동,114.924,56000
광주광역시 남구 진월동,166.1508,75000
광주광역시 남구 월산동,84.9643,44120
광주광역시 서구 풍암동,60,15850
광주광역시 서구 금호동,59.46,16800
광주광역시 북구 풍향동,36.1102,15000
광주광역시 북구 동림동,84.93,17000
광주광역시 북구 매곡동,84.87,19500
광주광역시 북구 일곡동,59.935,12000
광주광역시 서구 화정동,84.97,49500
광주광역시 북구 우산동,59.9494,42000
광주광역시 북구 일곡동,48.45,10000
광주광역시 북구 오치동,59.83,10000
광주광역시 서구 쌍촌동,84.7555,31000
광주광역시 동구 소태동,71.42,17300
광주광역시 광산구 신창동,84.8581,32000
광주광역시 광산구 쌍암동,40.9226,14500
광주광역시 광산구 도천동,59.76,9400
광주광역시 광산구 도천동,59.94,9300
광주광역시 광산구 쌍암동,84.95,60000
광주광역시 광산구 신창동,59.748,21000
광주광역시 광산구 월계동,59.92,17500
광주광역시 광산구 우산동,82.7217,35306
광주광역시 북구 신용동,65.6043,37500
광주광역시 광산구 우산동,84.3301,35813
광주광역시 광산구 도산동,59.79,10500
광주광역시 광산구 장덕동,84.9612,41800
광주광역시 북구 양산동,59.97,9800
광주광역시 광산구 운남동,59.29,21900
광주광역시 광산구 운남동,59.91,14500
광주광역시 광산구 월곡동,84.03,23500
광주광역시 광산구 우산동,49.14,11750
광주광역시 서구 치평동,59.94,24400
광주광역시 서구 치평동,59.955,17500
광주광역시 서구 치평동,152.23,66000
광주광역시 서구 쌍촌동,154.8305,78000
광주광역시 서구 쌍촌동,84.9977,41900
광주광역시 서구 농성동,84.9752,53300
광주광역시 북구 문흥동,59.965,12100
광주광역시 북구 문흥동,49.96,10900
광주광역시 북구 두암동,41.85,8000
광주광역시 북구 중흥동,84.88,55000
광주광역시 서구 금호동,84.7741,41500
광주광역시 남구 진월동,93.5552,46500
광주광역시 동구 용산동,84.9717,43500
광주광역시 북구 본촌동,84.9931,24000
광주광역시 서구 동천동,84.95,35500
광주광역시 북구 동림동,59.94,13500
광주광역시 북구 매곡동,59.79,8200
광주광역시 북구 각화동,84.745,38000
광주광역시 북구 각화동,59.98,15300
광주광역시 북구 일곡동,48.45,12500
광주광역시 북구 오치동,133.9537,46000
광주광역시 북구 운암동,59.82,9700
광주광역시 북구 용봉동,59.97,14000
광주광역시 북구 용봉동,144.6534,57000
광주광역시 남구 봉선동,59.89,35750
광주광역시 북구 운암동,84.93,12000
광주광역시 북구 운암동,59.82,9650
광주광역시 서구 풍암동,59.95,11000
광주광역시 서구 풍암동,84.7911,50000
광주광역시 북구 용봉동,84.87,14000
광주광역시 동구 운림동,84.7,20000
광주광역시 서구 금호동,84.7555,33000
광주광역시 북구 동림동,84.87,20000
광주광역시 서구 풍암동,59.95,16500
광주광역시 북구 동림동,59.99,12000
광주광역시 서구 치평동,122.26,72200
광주광역시 동구 계림동,72.6919,53300
광주광역시 동구 운림동,133.11,24350
광주광역시 북구 문흥동,59.965,14700
광주광역시 남구 월산동,84.9527,50000
광주광역시 동구 금남로5가,15.1697,5000
광주광역시 서구 금호동,84.994,27000
광주광역시 동구 산수동,94.57,25000
광주광역시 서구 화정동,84.72,20000
광주광역시 서구 화정동,59.93,13500
광주광역시 서구 화정동,59.88,14000
광주광역시 동구 소태동,59.9834,30900
광주광역시 동구 계림동,84.949,46300
광주광역시 동구 소태동,84.9603,47500
광주광역시 북구 두암동,84.9822,25500
광주광역시 서구 풍암동,59.955,17000
광주광역시 남구 진월동,84.9996,24000
광주광역시 북구 용봉동,84.6,16500
광주광역시 동구 학동,59.97,21400
광주광역시 북구 삼각동,75.9006,40500
광주광역시 광산구 우산동,84.9784,43300
광주광역시 광산구 월계동,116.186,27900
광주광역시 광산구 운남동,49.83,15000
광주광역시 광산구 운남동,70.97,18500
광주광역시 광산구 쌍암동,76.9179,42500
광주광역시 북구 신용동,59.99,14800
광주광역시 광산구 도산동,59.95,14500
